#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.10911.1:159-575|+     -            139 129956at50557        -            110   3.4e-63  209.4   0.1   1   1   8.7e-65     4e-63  209.2   0.1     1   108     1   112     1   117 0.94 -
135254at50557_103372_0:002a85|STRG.11625.7:900-1103|+   -             68 129956at50557        -            110   1.6e-05   23.8   0.0   1   1   3.6e-07   1.7e-05   23.7   0.0    33    95     2    67     1    68 0.89 -
134150at50557_166423_0:002eec|STRG.5750.2:231-1481|+    -            417 129956at50557        -            110   1.6e-05   23.8   0.0   1   1   6.6e-07     3e-05   22.9   0.0    32   105   171   252   164   257 0.82 -
134150at50557_166423_0:002eec|STRG.5750.1:231-1484|+    -            418 129956at50557        -            110   1.6e-05   23.8   0.0   1   1   6.6e-07     3e-05   22.9   0.0    32   105   172   253   165   258 0.82 -
129956at50557_91411_0:002117|STRG.14364.3:753-1049|+    -             99 129956at50557        -            110   2.1e-05   23.4   0.0   1   1   5.2e-07   2.4e-05   23.2   0.0    32   102     1    72     1    81 0.82 -
129956at50557_7176_0:003daf|STRG.20771.1:256-498|+      -             81 129956at50557        -            110   2.5e-05   23.2   0.1   1   1   8.3e-07   3.8e-05   22.6   0.1    32    81     1    50     1    75 0.81 -
105919at50557_88501_0:001ba1|STRG.12822.1:0-1850|+      -            617 129956at50557        -            110   3.3e-05   22.8   0.0   1   1   1.5e-06   6.7e-05   21.8   0.0    24    85   450   520   441   529 0.76 -
105919at50557_88501_0:001ba1|STRG.12822.2:467-2317|+    -            617 129956at50557        -            110   3.3e-05   22.8   0.0   1   1   1.5e-06   6.7e-05   21.8   0.0    24    85   450   520   441   529 0.76 -
125548at50557_143948_0:002761|STRG.836.2:195-446|+      -             84 129956at50557        -            110   3.8e-05   22.6   0.0   1   1   1.5e-06   6.8e-05   21.8   0.0    32   104    14    81     9    84 0.90 -
129956at50557_6973_0:003187|STRG.11340.10:290-532|+     -             81 129956at50557        -            110   4.2e-05   22.4   0.0   1   1     2e-06   9.1e-05   21.3   0.0    33   109     2    70     1    71 0.87 -
53033at50557_103372_0:000c7f|STRG.10884.1:206-2704|+    -            833 129956at50557        -            110   6.6e-05   21.8   0.1   1   1   1.3e-05   0.00059   18.7   0.0    28    86   134   192   125   205 0.89 -
53033at50557_103372_0:000c7f|STRG.10884.2:178-2676|+    -            833 129956at50557        -            110   6.6e-05   21.8   0.1   1   1   1.3e-05   0.00059   18.7   0.0    28    86   134   192   125   205 0.89 -
53033at50557_103372_0:000c7f|STRG.10884.3:182-2680|+    -            833 129956at50557        -            110   6.6e-05   21.8   0.1   1   1   1.3e-05   0.00059   18.7   0.0    28    86   134   192   125   205 0.89 -
81462at50557_568069_0:002a34|STRG.11716.1:254-2179|+    -            642 129956at50557        -            110   9.3e-05   21.3   0.0   1   1   4.9e-06   0.00022   20.1   0.0    11   107   272   369   265   372 0.89 -
81462at50557_568069_0:002a34|STRG.11716.3:254-2179|+    -            642 129956at50557        -            110   9.3e-05   21.3   0.0   1   1   4.9e-06   0.00022   20.1   0.0    11   107   272   369   265   372 0.89 -
129956at50557_315563_0:002b41|STRG.11340.1:1440-1775|+  -            112 129956at50557        -            110    0.0002   20.2   0.0   1   1     5e-06   0.00023   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.11340.2:720-1055|+   -            112 129956at50557        -            110    0.0002   20.2   0.0   1   1     5e-06   0.00023   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.11340.4:716-1051|+   -            112 129956at50557        -            110    0.0002   20.2   0.0   1   1     5e-06   0.00023   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.11340.5:716-1051|+   -            112 129956at50557        -            110    0.0002   20.2   0.0   1   1     5e-06   0.00023   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.11340.6:716-1051|+   -            112 129956at50557        -            110    0.0002   20.2   0.0   1   1     5e-06   0.00023   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.11340.7:716-1051|+   -            112 129956at50557        -            110    0.0002   20.2   0.0   1   1     5e-06   0.00023   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.11340.8:716-1051|+   -            112 129956at50557        -            110    0.0002   20.2   0.0   1   1     5e-06   0.00023   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.11340.9:985-1320|+   -            112 129956at50557        -            110    0.0002   20.2   0.0   1   1     5e-06   0.00023   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_38123_0:0017f4|STRG.5727.1:1049-1219|+    -             57 129956at50557        -            110   0.00033   19.5   0.0   1   1   7.4e-06   0.00034   19.5   0.0    32    64     1    33     1    50 0.93 -
129956at50557_441921_0:0017da|STRG.19687.1:161-436|+    -             92 129956at50557        -            110    0.0013   17.6   0.0   1   1   3.8e-05    0.0017   17.2   0.0    24   104    17    92     5    92 0.90 -
30467at50557_144034_0:0022a4|STRG.11857.1:54-2183|+     -            710 129956at50557        -            110    0.0027   16.6   0.1   1   1   0.00016    0.0073   15.2   0.1    48   103    95   151    86   158 0.86 -
125548at50557_103372_0:000e1a|STRG.19676.2:62-748|+     -            229 129956at50557        -            110    0.0041   16.0   0.0   1   1   0.00014    0.0062   15.5   0.0    28    89    99   162    85   180 0.78 -
125548at50557_103372_0:000e1a|STRG.19676.1:42-884|+     -            243 129956at50557        -            110    0.0045   15.9   0.0   1   1   0.00015     0.007   15.3   0.0    28    89   113   176    99   194 0.78 -
129956at50557_7160_0:003f5c|STRG.16385.2:894-1094|+     -             67 129956at50557        -            110     0.011   14.6   0.0   1   1   0.00039     0.018   14.0   0.0    33   103     2    66     1    67 0.82 -
129956at50557_7160_0:003f5c|STRG.16385.3:1084-1284|+    -             67 129956at50557        -            110     0.011   14.6   0.0   1   1   0.00039     0.018   14.0   0.0    33   103     2    66     1    67 0.82 -
102553at50557_7167_0:001a03|STRG.13091.1:111-1004|+     -            298 129956at50557        -            110     0.012   14.5   0.0   1   2       2.8   1.3e+02    1.5   0.0    13    28    18    33     8    71 0.84 -
102553at50557_7167_0:001a03|STRG.13091.1:111-1004|+     -            298 129956at50557        -            110     0.012   14.5   0.0   2   2    0.0043       0.2   10.6   0.0    28    94   217   283   207   297 0.88 -
135254at50557_13249_0:000902|STRG.20488.1:137-352|+     -             72 129956at50557        -            110     0.027   13.4   0.0   1   1     0.002     0.092   11.7   0.0    27    93    13    72     5    72 0.82 -
49780at50557_13686_0:001eb7|STRG.13065.1:388-2703|+     -            772 129956at50557        -            110     0.088   11.7   0.0   1   1    0.0065       0.3   10.0   0.0    32    78   310   355   298   368 0.85 -
49780at50557_13686_0:001eb7|STRG.13065.2:388-2703|+     -            772 129956at50557        -            110     0.088   11.7   0.0   1   1    0.0065       0.3   10.0   0.0    32    78   310   355   298   368 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/129956at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/129956at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/129956at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:56 2024
# [ok]
